original_path,target_path,category,subcategory,extension,size_bytes,migrated_at,verified
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/AUTOPILOT_GRADE_SYSTEM_POSITION_STATEMENT.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/01_Directives/AUTOPILOT_GRADE_SYSTEM_POSITION_STATEMENT.md","GOVERNANCE","01_Directives","md",12978,"2026-01-31T08:27:56Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/INVARIANT_COMPATIBILITY_MATRIX.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/02_Principles/INVARIANT_COMPATIBILITY_MATRIX.md","GOVERNANCE","02_Principles","md",13289,"2026-01-31T08:27:59Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/IRONCLAD_EXTRACTION_REPORT_AGENT_SESSION_2026-01-29.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/03_Protocols/IRONCLAD_EXTRACTION_REPORT_AGENT_SESSION_2026-01-29.md","GOVERNANCE","03_Protocols","md",9145,"2026-01-31T08:28:00Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/FORENSIC_CORRECTION_REPORT_2026-01-29_002158.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/03_Protocols/FORENSIC_CORRECTION_REPORT_2026-01-29_002158.md","GOVERNANCE","03_Protocols","md",13728,"2026-01-31T08:28:00Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/BLOCKING_ITEM_RESOLUTION_PLAN.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/03_Protocols/BLOCKING_ITEM_RESOLUTION_PLAN.md","GOVERNANCE","03_Protocols","md",17613,"2026-01-31T08:28:00Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/CIA_SIE_PURE_GOLD_STANDARD_FRONTEND_CONFORMANCE_MAP.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/04_Standards/CIA_SIE_PURE_GOLD_STANDARD_FRONTEND_CONFORMANCE_MAP.md","GOVERNANCE","04_Standards","md",13797,"2026-01-31T08:28:01Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/ERROR_SEMANTICS_MAP.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/04_Standards/ERROR_SEMANTICS_MAP.md","GOVERNANCE","04_Standards","md",11631,"2026-01-31T08:28:01Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/CANONICAL_FULL_STACK_CIRCUIT_DIAGRAM.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/05_Frameworks/CANONICAL_FULL_STACK_CIRCUIT_DIAGRAM.md","GOVERNANCE","05_Frameworks","md",66820,"2026-01-31T08:28:03Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/FUNCTION_TO_CIRCUIT_MAPPING_TABLE.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/05_Frameworks/FUNCTION_TO_CIRCUIT_MAPPING_TABLE.md","GOVERNANCE","05_Frameworks","md",22989,"2026-01-31T08:28:03Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/MCI_CIA_SIE_PURE_INTEGRATION_CIRCUIT_MAP.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/05_Frameworks/MCI_CIA_SIE_PURE_INTEGRATION_CIRCUIT_MAP.md","GOVERNANCE","05_Frameworks","md",33305,"2026-01-31T08:28:03Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/USER_FEATURE_SYSTEM_CIRCUIT_TRACEABILITY_MATRIX.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/05_Frameworks/USER_FEATURE_SYSTEM_CIRCUIT_TRACEABILITY_MATRIX.md","GOVERNANCE","05_Frameworks","md",21051,"2026-01-31T08:28:03Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/LIFECYCLE_DETERMINISM_TABLE.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/05_Frameworks/LIFECYCLE_DETERMINISM_TABLE.md","GOVERNANCE","05_Frameworks","md",9580,"2026-01-31T08:28:03Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/UXMI_7x7_FORENSIC_VERIFICATION_MATRIX.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/GOVERNANCE/05_Frameworks/UXMI_7x7_FORENSIC_VERIFICATION_MATRIX.md","GOVERNANCE","05_Frameworks","md",11600,"2026-01-31T08:28:03Z","true"
"/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION/AUTOPILOT_GRADE_READINESS_AND_DELTA_MATRIX.md","/Users/nevillemehta/Downloads/001_MCI_TERMINAL_EXTRACTION_REHYDRATED/DOCUMENTATION/Technical/AUTOPILOT_GRADE_READINESS_AND_DELTA_MATRIX.md","DOCUMENTATION","Technical","md",8500,"2026-01-31T08:28:33Z","true"
